round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,60,10,TRUE,FALSE,FALSE,0,30,0,50,10,30,50,0,10
2,FALSE,60,0,FALSE,FALSE,FALSE,0,30,0,50,10,30,50,0,10
3,FALSE,60,10,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
4,FALSE,60,10,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
5,FALSE,60,0,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
6,FALSE,60,0,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
7,FALSE,60,10,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
8,FALSE,60,10,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
9,FALSE,60,0,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
10,FALSE,60,0,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
11,FALSE,60,10,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
12,FALSE,60,10,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
13,FALSE,60,0,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
14,FALSE,60,0,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
15,FALSE,60,10,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
16,FALSE,60,10,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
17,FALSE,60,0,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
18,FALSE,60,0,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
19,TRUE,60,0,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
20,FALSE,60,0,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
21,FALSE,60,10,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
22,FALSE,60,10,FALSE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
23,FALSE,60,0,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
24,FALSE,60,0,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
25,FALSE,60,10,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
26,FALSE,60,10,FALSE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
27,FALSE,60,0,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
28,FALSE,60,0,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
29,FALSE,60,10,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
30,FALSE,60,10,TRUE,FALSE,FALSE,0,100,0,80,70,100,80,0,70
31,FALSE,60,0,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
32,FALSE,60,0,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
33,FALSE,60,10,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
34,FALSE,60,10,TRUE,FALSE,FALSE,0,100,0,0,50,50,0,0,100
